         T[MeV]          p/T^4          e/T^4          s/T^3          chi2B          chi4B    chi4B/chi2B
            178        1.04272        6.35956        7.40227       0.102123     -0.0263023      -0.257554
            179        1.06097        6.46674         7.5277        0.10209     -0.0275555      -0.269913
            180        1.07941         6.5742        7.65361        0.10195     -0.0286399      -0.280922
            181        1.09803        6.68192        7.77996       0.101704     -0.0295548      -0.290595
            182        1.11684        6.78989        7.90673       0.101358     -0.0303014      -0.298953
            183        1.13583        6.89808        8.03391       0.100915     -0.0308822      -0.306023
            184        1.15499        7.00649        8.16148       0.100378     -0.0313015      -0.311836
            185        1.17432        7.11511        8.28943      0.0997523     -0.0315649      -0.316433
            186        1.19382        7.22392        8.41774      0.0990421     -0.0316791      -0.319854
            187        1.21348        7.33293        8.54642      0.0982522     -0.0316518      -0.322148
            188        1.23331        7.44214        8.67545      0.0973873     -0.0314917      -0.323366
            189        1.25329        7.55155        8.80484      0.0964523      -0.031208      -0.323559
            190        1.27343        7.66116        8.93459      0.0954521     -0.0308105      -0.322785
            191        1.29372        7.77097         9.0647      0.0943917     -0.0303091      -0.321099
            192        1.31416        7.88101        9.19517      0.0932761     -0.0297141      -0.318561
            193        1.33475        7.99127        9.32602      0.0921101     -0.0290358      -0.315229
            194        1.35548        8.10177        9.45725      0.0908986     -0.0282842      -0.311162
            195        1.37635        8.21253        9.58888      0.0896462     -0.0274692      -0.306419
            196        1.39736        8.32356        9.72092      0.0883575     -0.0266006      -0.301056
            197        1.41851        8.43488        9.85338       0.087037     -0.0256874      -0.295132
            198        1.43979         8.5465        9.98629      0.0856889     -0.0247384      -0.288701
            199         1.4612        8.65844        10.1196      0.0843174      -0.023762      -0.281816
            200        1.48275        8.77073        10.2535      0.0829265     -0.0227657      -0.274529
